Bourdon 16 - G,2,0,0,0
Principal 8,3,0,0,1
Gedackt 8,0,1,0,2
Gemshorn 8,1,1,0,3
Octave 4,5,1,0,4
Spitzflote 4,6,1,0,5
Supper Octave 2,1,2,0,6
Quintflote 1 1/3,3,2,0,7
Mixture IV,6,2,0,8
Trompete 8,2,3,0,9
Chimes,1,4,0,10
Bourdon 8 - S,4,8,0,11
Viola 8 - S,0,8,0,12
Celeste Flute 8 -S,1,8,0,13
Celeste Viola 8 - S,0,9,0,14
Principal 4 - S,3,9,0,15
Koppelflote - 4 - S,4,9,0,16
Nazard 2 2/3 - S,5,9,0,17
Blockflote 2 - S,0,10,0,18
Tierce 1 3/5 - S,1,10,0,19
Plein Jeu IV - S,4,10,0,20
Fagott 16 -S,6,11,0,21
Hautbois 8 - S,2,11,0,22
Clairon 4 -S,5,11,0,23
Principal 16 - P,3,21,0,24
Subbass 16 - P,4,21,0,25
Octave 8 - P,2,22,0,26
Gedackt 8 - P,4,22,0,27
Choral Bass 4 - P,6,22,0,28
Posaune 16 - P,0,24,0,29
Great to Pedel,3,25,0,30
Swell to Pedel,5,25,0,31
Swell to Great,6,26,0,32
Swell Tremulant,6,1,0,33
Great Tremulant,4,4,0,34
Flute Full Tremulant,3,31,0,35
